Study_Area,Year,Zone,Area_km2,Percent
Kathmandu,2015,Cool,69.76,5.82
Kathmandu,2015,Moderately Cool,156.1,13.01
Kathmandu,2015,Moderate,252.43,21.04
Kathmandu,2015,Warm,223.48,18.63
Kathmandu,2015,Hotspot,25.77,2.15
Kathmandu,2020,Cool,70.15,5.85
Kathmandu,2020,Moderately Cool,152.82,12.74
Kathmandu,2020,Moderate,231.7,19.32
Kathmandu,2020,Warm,255.97,21.34
Kathmandu,2020,Hotspot,16.91,1.41
Kathmandu,2025,Cool,71.2,5.94
Kathmandu,2025,Moderately Cool,143.48,11.96
Kathmandu,2025,Moderate,259.16,21.6
Kathmandu,2025,Warm,226.59,18.89
Kathmandu,2025,Hotspot,27.11,2.26
Hetauda,2015,Cool,19.12,2.76
Hetauda,2015,Moderately Cool,64.26,9.29
Hetauda,2015,Moderate,93.39,13.5
Hetauda,2015,Warm,73.52,10.63
Hetauda,2015,Hotspot,14.15,2.05
Hetauda,2020,Cool,11.97,1.73
Hetauda,2020,Moderately Cool,78.71,11.38
Hetauda,2020,Moderate,92.75,13.41
Hetauda,2020,Warm,58.61,8.47
Hetauda,2020,Hotspot,22.4,3.24
Hetauda,2025,Cool,12.02,1.74
Hetauda,2025,Moderately Cool,84.84,12.27
Hetauda,2025,Moderate,82.17,11.88
Hetauda,2025,Warm,63.49,9.18
Hetauda,2025,Hotspot,21.92,3.17
