Year,Study_Area,LULC_Class,Mean_LST
2015,Hetauda,Builtup,31.37197798186053
2015,Hetauda,Vegetation,27.356362481164435
2015,Hetauda,Agriculture,30.523998023034245
2015,Hetauda,Water,28.927325820835538
2015,Hetauda,BareLand,30.98630777093348
2016,Hetauda,Builtup,35.05719247334516
2016,Hetauda,Vegetation,30.809659033568252
2016,Hetauda,Agriculture,34.10459230591032
2016,Hetauda,Water,31.611710948712748
2016,Hetauda,BareLand,34.199771989677785
2017,Hetauda,Builtup,32.736746883692646
2017,Hetauda,Vegetation,29.32190235309779
2017,Hetauda,Agriculture,32.83325632397267
2017,Hetauda,Water,30.053995846474308
2017,Hetauda,BareLand,32.17771731591987
2018,Hetauda,Builtup,35.59130023324994
2018,Hetauda,Vegetation,31.62378994244761
2018,Hetauda,Agriculture,35.805558027991765
2018,Hetauda,Water,31.86248272664849
2018,Hetauda,BareLand,34.35200376374804
2019,Hetauda,Builtup,35.475839461100584
2019,Hetauda,Vegetation,30.973004207922713
2019,Hetauda,Agriculture,35.05768622486419
2019,Hetauda,Water,32.05945645812333
2019,Hetauda,BareLand,34.4558978996981
2020,Hetauda,Builtup,32.1851308848089
2020,Hetauda,Vegetation,28.348906680314524
2020,Hetauda,Agriculture,31.34566225970343
2020,Hetauda,Water,29.475678272478927
2020,Hetauda,BareLand,32.211635052812724
2021,Hetauda,Builtup,32.86809033476293
2021,Hetauda,Vegetation,30.054154559434686
2021,Hetauda,Agriculture,32.76198581474788
2021,Hetauda,Water,31.29981603523864
2021,Hetauda,BareLand,32.533078509346545
2022,Hetauda,Builtup,35.54785655902592
2022,Hetauda,Vegetation,30.850859219387992
2022,Hetauda,Agriculture,34.84679811680967
2022,Hetauda,Water,32.55955936106623
2022,Hetauda,BareLand,35.078458339097644
2023,Hetauda,Builtup,36.2286331833527
2023,Hetauda,Vegetation,31.537453471316894
2023,Hetauda,Agriculture,35.862852793578476
2023,Hetauda,Water,31.499167089342983
2023,Hetauda,BareLand,34.84211469542355
2024,Hetauda,Builtup,37.675699701936004
2024,Hetauda,Vegetation,31.950449745778318
2024,Hetauda,Agriculture,36.5841523661013
2024,Hetauda,Water,33.13714282272337
2024,Hetauda,BareLand,36.706429019541034
2025,Hetauda,Builtup,37.025482974230584
2025,Hetauda,Vegetation,33.683924722575654
2025,Hetauda,Agriculture,36.79065697388953
2025,Hetauda,Water,33.284658158557605
2025,Hetauda,BareLand,36.48958796704678
