Year,Study_Area,Total_Area_km2,Builtup_km2,Builtup_Percent,Vegetation_km2,Vegetation_Percent,Agriculture_km2,Agriculture_Percent,Water_km2,Water_Percent,BareLand_km2,BareLand_Percent
2015,Kathmandu,722.1426592221126,133.31368863197102,18.460852150124417,289.73327844024976,40.12133540931491,166.6144405099095,23.072233495994478,0.7400455961363549,0.10247914130062988,115.7572090089779,16.029687144320047
2016,Kathmandu,722.1426592221126,133.31368863197102,18.460852150124417,289.73327844024976,40.12133540931491,166.6144405099095,23.072233495994478,0.7400455961363549,0.10247914130062988,115.7572090089779,16.029687144320047
2017,Kathmandu,722.1426592221126,271.5277610037417,37.60029372814364,418.0977923125539,57.89684170755487,29.575814710680334,4.095563990436351,0.5662054238812019,0.07840631164084873,2.3750857708587643,0.3288942621693602
2018,Kathmandu,722.1426592221126,293.4710143446055,40.63892509282454,396.46478897041703,54.9011727679246,29.25625204293319,4.051311976839568,0.5508927244005689,0.0762858581147923,2.3997111392760924,0.33230430423000434
2019,Kathmandu,722.1426592221126,314.5452475268553,43.55721733233173,369.06611019896224,51.10709158167139,33.707307866242566,4.667679915565694,0.689256979210708,0.09544609647533789,4.134736650109808,0.5725650738544819
2020,Kathmandu,722.1426592221126,322.5367617410304,44.66385659704205,369.0471909008921,51.10447169793672,24.135662109389408,3.34222910129533,0.6077739847495582,0.08416259266614279,5.815270485914624,0.805280011040865
2021,Kathmandu,722.1426592221126,311.4099118627824,43.12304610258465,366.34610147394835,50.730433494757676,38.45968437586352,5.32577377678976,0.8010746129736209,0.11093024387127792,5.125886896004171,0.7098163819217858
2022,Kathmandu,722.1426592221126,341.85178200407483,47.33853867216699,352.7613153938044,48.849255876089174,22.82364667041596,3.1605454100996395,0.5997154199323171,0.08304666844890825,4.106199733161777,0.5686133730951373
2023,Kathmandu,722.1426592221126,345.9780608914368,47.909932542154785,350.05076407608874,48.47390742061425,21.088652924798005,2.92028903922039,0.8287800618886318,0.11476680560339536,4.1964012670403275,0.5811041922880811
2024,Kathmandu,722.1426592221126,350.21968518417555,48.49729907404029,330.9143132724126,45.823953071664725,37.15213581643049,5.144708644750406,0.7157606054367064,0.09911623365495666,3.140764343742972,0.4349229759014906
2025,Kathmandu,722.1426592221126,340.6352898637889,47.1700827410915,361.32405310164916,50.0349963386549,14.001747369169669,1.9389170810449368,0.7140579510357427,0.09888045553283355,5.467510935891064,0.7571233835957887
