Year,Study_Area,LULC_Class,Mean_LST
2015,Kathmandu,Builtup,26.908257348668645
2015,Kathmandu,Vegetation,20.571918806317708
2015,Kathmandu,Agriculture,25.14593654349073
2015,Kathmandu,Water,25.291141323108743
2015,Kathmandu,BareLand,27.125879342033087
2016,Kathmandu,Builtup,28.03398446820477
2016,Kathmandu,Vegetation,23.073981627600233
2016,Kathmandu,Agriculture,27.896043574644718
2016,Kathmandu,Water,25.424249060647107
2016,Kathmandu,BareLand,28.58318903214786
2017,Kathmandu,Builtup,27.820752495708014
2017,Kathmandu,Vegetation,24.34614601893488
2017,Kathmandu,Agriculture,26.859359751302364
2017,Kathmandu,Water,26.754199318340433
2017,Kathmandu,BareLand,29.149814393952656
2018,Kathmandu,Builtup,30.341002824652616
2018,Kathmandu,Vegetation,26.35266035979963
2018,Kathmandu,Agriculture,30.326804675351752
2018,Kathmandu,Water,30.32597253985837
2018,Kathmandu,BareLand,31.74244647796108
2019,Kathmandu,Builtup,29.9323201508929
2019,Kathmandu,Vegetation,25.08859442796245
2019,Kathmandu,Agriculture,29.13059782540139
2019,Kathmandu,Water,28.155562814332626
2019,Kathmandu,BareLand,31.1122221475531
2020,Kathmandu,Builtup,29.632553533127155
2020,Kathmandu,Vegetation,24.097095409306334
2020,Kathmandu,Agriculture,27.6585425574917
2020,Kathmandu,Water,29.35468068528041
2020,Kathmandu,BareLand,30.37227181048706
2021,Kathmandu,Builtup,29.051227180822814
2021,Kathmandu,Vegetation,25.461686742625055
2021,Kathmandu,Agriculture,28.486588274099173
2021,Kathmandu,Water,26.937738855311522
2021,Kathmandu,BareLand,29.570080081232366
2022,Kathmandu,Builtup,31.798225464958797
2022,Kathmandu,Vegetation,26.121818998350314
2022,Kathmandu,Agriculture,30.44139172477708
2022,Kathmandu,Water,30.200644115578264
2022,Kathmandu,BareLand,31.39904519494483
2023,Kathmandu,Builtup,30.393948970547285
2023,Kathmandu,Vegetation,25.330313937926675
2023,Kathmandu,Agriculture,29.640617889440076
2023,Kathmandu,Water,28.884621548665482
2023,Kathmandu,BareLand,31.05561498509042
2024,Kathmandu,Builtup,31.795595848362236
2024,Kathmandu,Vegetation,25.522605198727486
2024,Kathmandu,Agriculture,30.620466014641398
2024,Kathmandu,Water,29.37332533341607
2024,Kathmandu,BareLand,33.36717082397019
2025,Kathmandu,Builtup,32.23968406472635
2025,Kathmandu,Vegetation,27.09842694965029
2025,Kathmandu,Agriculture,31.51855847527554
2025,Kathmandu,Water,30.351490397928536
2025,Kathmandu,BareLand,32.712715841880225
